Artist
van mccoy  the soul city symphony
labelle
war
major harris
stevie wonder
freddy fender
the isley brothers
helen reddy
ozark mountain daredevils
ohio players
pilot
the carpenters
america
elton john
barry manilow
olivia newtonjohn
barry manilow
harry chapin
michael martin murphey
jessi colter
wings
10cc
billy swan
hamilton joe frank  reynolds
morris albert
sammy johns
linda ronstadt
barry white
olivia newtonjohn
linda ronstadt
bazuka
the blackbyrds
gladys knight  the pips
melissa manchester
sugarloaf
phoebe snow
ace
bt express
earth wind  fire
styx
grand funk
alice cooper
carol douglas
kc and the sunshine band
joe cocker
paul anka  odia coates
bad company
james taylor
orleans
average white band
gloria gaynor
paul anka
donny  marie osmond
grand funk railroad
the three degrees
joe simon
john denver
queen
eddie kendricks
bt express
electric light orchestra
al green
america
rufus
mike post
tavares
ringo starr
paul mccartney  wings
jethro tull
leo sayer
elton john
ray stevens
neil sedaka  elton john
the carpenters
dwight twilley band
ringo starr
amazing rhythm aces
bachmanturner overdrive
frankie valli
discotex and the sexolettes
wings
elton john  kiki dee
johnnie taylor
the four seasons
wild cherry
the manhattans
the miracles
paul simon
gary wright
walter murphy  the big apple band
hall  oates
starland vocal band
barry manilow
silver convention
diana ross
seals and crofts
andrea true connection
queen
dorothy moore
the sylvers
england dan  john ford coley
hot chocolate
nazareth
silver convention
eagles
kc and the sunshine band
commodores
maxine nightingale
rhythm heritage
ohio players
bee gees
lou rawls
david bowie
starbuck
dr hook
the bellamy brothers
gary wright
vicki sue robinson
captain  tennille
eric carmen
donna summer
donny  marie osmond
diana ross
rufus
kc and the sunshine band
dr hook
henry gross
chicago
boz scaggs
peter frampton
aerosmith
the ojays
fleetwood mac
paul anka
cliff richard
elvin bishop
c w mccall
john sebastian
earth wind  fire
tavares
the brothers johnson
the beach boys
captain  tennille
bay city rollers
elton john
the staple singers
wings
wing and a prayer fife and drum corps
george benson
electric light orchestra
silver
keith carradine
harold melvin  the blue notes
war
john travolta
sweet
fleetwood mac
the beatles
bee gees
earth wind  fire
hall  oates
orleans
queen
jefferson starship
foghat
ohio players
thin lizzy
david ruffin
peter frampton
candi staton
neil sedaka
bay city rollers
parliament
larry groce
barry manilow
kiss
rick dees  his cast of idiots
steve miller band
the who
glen campbell
rod stewart
andy gibb
the emotions
barbra streisand
hot
kenny nolan
thelma houston
rita coolidge
alan oday
mary macgregor
kc and the sunshine band
abba
leo sayer
jimmy buffett
electric light orchestra
pablo cruise
peter mccann
stevie wonder
eagles
marvin gaye
bill conti deetta little and nelson pigford
glen campbell
hall  oates
leo sayer
the sylvers
rose royce
marilyn mccoo  billy davis jr
steve miller band
david soul
stephen bishop
foreigner
climax blues band
commodores
jennifer warnes
natalie cole
manfred manns earth band
barry manilow
atlanta rhythm section
fleetwood mac
the jacksons
brick
peter frampton
kenny rogers
10cc
shaun cassidy
james taylor
crosby stills  nash
alice cooper
johnny rivers
andrew gold
stevie wonder
fleetwood mac
heart
the brothers johnson
bob seger  the silver bullet band
helen reddy
the marshall tucker band
kansas
eagles
barbra streisand
engelbert humperdinck
steve miller band
burton cummings
elvis presley
barry manilow
ronnie milsap
sanfordtownsend band
foreigner
dean friedman
bread
meco
the floaters
